"","Pitcher","TaggedPitchType","Team","Max Velo","Max Spin","MaxVelo_percentile","MaxVelo_ranking","MaxSpin_percentile","MaxSpin_ranking"
"351","Suarez, Ranger","High","PHI",100,100,105,1,105,1
"352","Swanson, Erik","High","TOR",100,100,105,1,105,1
"353","Thielbar, Caleb","High","MIN",100,100,105,1,105,1
"354","Thompson, Ryan","High","AZ",100,100,105,1,105,1
"355","Urquidy, Jose","High","HOU",100,100,105,1,105,1
"356","Varland, Louie","High","TOR",100,100,105,1,105,1
"357","Verlander, Justin","High","HOU",100,100,105,1,105,1
"358","Vesia, Alex","High","LAD",100,100,105,1,105,1
"359","Webb, Jacob","High","BAL",100,100,105,1,105,1
"360","Wells, Tyler","High","BAL",100,100,105,1,105,1
"361","Wheeler, Zack","High","PHI",100,100,105,1,105,1
"362","Williams, Devin","High","MIL",100,100,105,1,105,1
"363","Yates, Kirby","High","ATL",100,100,105,1,105,1
